jenna davis;reggae
rhythm queen;dub music,reggae
angela wynter;reggae
christine;reggae
jenny;reggae
zion;reggae
valerie skeete;reggae
lyn gerard;reggae
jayzik;reggae
trilla jenna;reggae
dj pepsi;reggae
vyris;reggae
aisha;reggae
diane white;dub music,reggae
teddy dan;reggae
bernard collins;reggae
michael richards;reggae
mallory williams;reggae
david madden;reggae
alvin mclean;reggae
anthony green;reggae
brian silverman;reggae
daniel cammock;reggae
errol seaton;reggae
ms baumann;reggae
ms palmer;reggae
horace andy;downtempo,ambient music,reggae,trip hop,progressive rock,alternative hip hop,salsa
anthony "drumton" ward;reggae
iauwata selasie;reggae
stanley andrews;reggae
christophe fellay;jazz,avant-garde music
raymond pellissier;avant-garde music
eric pellissier;avant-garde music
christophe debons;avant-garde music
ludovic navarre;jazz,house music
pascal ohse;jazz,house music
edouard labor;jazz,house music
didier davidas;jazz,house music
alex legrand;jazz,house music
thierry jasmin banaré;jazz,house music
carneiro magalhães;jazz,house music
fabrice drigues-hanoun;jazz,house music
louise rhodes;breakbeat,trip hop
andy barlow;indie pop,breakbeat,trip hop
kevin davy;breakbeat,trip hop
jon thorne;indie pop,breakbeat,trip hop
denis prince;breakbeat,trip hop
ryuichi sakamoto;world music,classical music
jaques morelenbaum;música popular brasileira,Latin jazz,music of Brazil,world music,bossa nova,samba,classical music
sonia slany;world music,classical music
sharyn chimedtseye;world music,classical music
glaucus xavier;music of Africa,music of Brazil
vitto mereilles;music of Brazil
mauro martins;música popular brasileira,music of Brazil,jazz fusion,bossa nova,samba
zeulis nascimiendo;music of Brazil
daniel mbongo;music of Brazil
manuel rocha;world music,music of Latin America,vocal music
mísia;world music,music of Latin America,vocal music
ricardo dias;world music,music of Latin America,vocal music
josé manuel neto;music of Latin America
carlos manuel proença;music of Latin America
daniel pinto;music of Latin America
chico ocana;flamenco
julio revilla;flamenco
manuel soto;flamenco
jesus diaz;flamenco
alberto alvarez;flamenco
rocio vazquez;flamenco
maria ochoa;music of the Caribbean
eduardo rosario vega;music of the Caribbean
vincente machado;music of the Caribbean
alexi rojas montero;music of the Caribbean
rey cabrera;music of the Caribbean
ismael borges torres;music of the Caribbean
joaquin solorzano;music of the Caribbean
william cepeda;Afro-Cuban jazz
ivan renta;Afro-Cuban jazz
omar kabir;Afro-Cuban jazz
ulrich geissendoerfer;Afro-Cuban jazz
jose batista;Afro-Cuban jazz
andreas forero;Afro-Cuban jazz
angel mogica;Afro-Cuban jazz
reinaldo de jesus;Afro-Cuban jazz
michel camilo;Latin jazz,bossa nova,hard bop,jazz,Afro-Cuban jazz
anthony clayborne jackson;jazz
horacio "el negro" hernandez;jazz
fred comte;alternative hip hop,heavy metal
bassel tabet;alternative hip hop,heavy metal
wassim abdulah;alternative hip hop,heavy metal
fabien vodoz;alternative hip hop,heavy metal
jason jones;alternative hip hop,heavy metal
vincent huther;alternative hip hop,heavy metal
dj enoz rovero;alternative hip hop,heavy metal
joris rossier;alternative hip hop,heavy metal
david salsedo;alternative hip hop,alternative rock,heavy metal
brice montessuit;alternative hip hop,alternative rock,heavy metal
jean-pierre martins;alternative hip hop,alternative rock,heavy metal
stéphane "jimi" daurs;alternative hip hop,alternative rock,heavy metal
come aguiar;alternative hip hop,alternative rock,heavy metal
aymeric moneste;alternative hip hop,alternative rock,heavy metal
stéphane "stani" dumond;alternative hip hop,alternative rock,heavy metal
kim gordon;indie rock
thurston moore;indie rock
lee ranaldo;indie rock
james o'rourke;indie rock
steve shelley;indie rock
bugge wesseltoft;electronica,jazz,acid jazz
jonas lonna;electronica,jazz
ingebrigt flaten;electronica,jazz
anders engen;electronica,jazz
hakon kornstad;electronica,jazz
alex wilson;reggae,music of Latin America,jazz,folk rock
courtney pine;post-bop,reggae,jazz fusion,hard bop,jazz
cameron pierre;hard bop,jazz fusion,jazz
robert fordjour;hard bop,jazz fusion,jazz
dennis rollins;jazz
peter martin;post-bop,vocal music,hard bop,jazz,contemporary R&B
mary pearce;jazz
phillip gordon;jazz
jochen wenz;jazz,contemporary R&B
uli krug;jazz,contemporary R&B
chris bishop;jazz,contemporary R&B
michael schuh;jazz,contemporary R&B
christl marley;jazz,contemporary R&B
steffen "la rose" weber;jazz,contemporary R&B
laurent leroi;jazz,contemporary R&B
erwin ditzner;jazz,contemporary R&B
robert göhring;jazz,contemporary R&B
uli roeser;jazz,contemporary R&B
dj mahmut;jazz,contemporary R&B
marlon irving;alternative hip hop,reggae
xavier mosley;alternative hip hop
gift of gab;hip hop culture,alternative hip hop
lateef daumont;alternative hip hop
joy malig;alternative hip hop
ulises llamosas;hip hop culture
max herre;swing music,hip hop culture,crossover jazz,big band
dj green giant;hip hop culture
yvan peacemaker;hip hop culture
nega;hip hop culture,rapping
stress;hip hop culture,rapping
shyaka kagame;hip hop culture
sadrac temo;hip hop culture
jordan nsimba;hip hop culture
dany mwamba;hip hop culture
bruno "loucha" djoungong;hip hop culture
kamilean;hip hop culture,rapping
biff 2000;hip hop culture
pit baccardi;hip hop culture
will calhoun;downtempo,electronic music,hip hop culture,drum and bass,free jazz,hard rock,alternative rock,alternative hip hop,funk,jazz-funk,avant-garde music
mos def;hip hop culture
welson irvine;hip hop culture
t. m. stevens;hip hop culture
rattman prescott;hip hop culture
kevin louis;hip hop culture
roger brian;hip hop culture
yaya;hip hop culture
denard smith;hip hop culture
cut killer;music of Africa,electronic music,hip hop culture,rapping
dj abdel;music of Africa,electronic music,hip hop culture,rapping
lsk;dance music,hip hop culture,trip hop,techno,pop music
