"album_id","title","extra","artist_name","artist_id","role","label","year","rating","rank"
1164585,Music For 18 Musicians,"0,1",Steve Reich,22946,"Composed By,Mixed By,Piano, Marimba,Sleeve Notes",ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Bernard Perrine,2247851,Photography By [Backliner Photos],ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Beryl Korot,428428,Cover [Cover Drawing],ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Betty Freeman,798074,Photography By [Backliner Photos],ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Bob Becker,274691,"Marimba, Xylophone",ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,David Van Tieghem,143947,"Marimba, Xylophone, Piano",ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Dr. Rudolf Werner,472215,"Mixed By,Producer,Recording Supervisor [Production and Recording Supervision]",ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Elizabeth Arnold,632037,Voice,ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Gary Schall,298144,"Marimba, Maracas",ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Glen Velez,136998,"Marimba, Xylophone",ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Guido Harari,420475,Photography By [Backliner Photos],ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,James Preiss,298150,"Metallophone, Piano",ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Jay Clayton,298145,"Voice, Piano",ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,John Bittner,1989081,"Lacquer Cut By,Mastered By",ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Ken Ishii (2),632038,Cello,ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Klaus Hiemann,472214,"Engineer [Recording],Mixed By",ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Larry Karush,402291,"Piano, Maracas",ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Mary Lucier,453524,Photography By [Backliner Photos],ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Nurit Tilles,522278,Piano,ECM Records,1978,4.1,1
1164585,Music For 18 Musicians,1,Pamela Fraley,632035,Voice,ECM Records,1978,4.1,1
