"id","rank","rating","year"
208109,17,4.11,1995
5528785,18,4.06,2014
10844795,21,4.05,1994
9437902,23,4.04,2016
11195697,24,3.92,2017
6816697,25,4.02,2015
7026670,45,3.95,1995
12475737,50,3.96,2017
1335218,68,3.92,1993
6841641,72,3.9,1996
592674,77,3.85,1993
7848854,78,3.89,2013
9028545,80,3.85,2003
13898058,86,3.81,2019
1088839,91,3.88,2003
10965576,96,3.87,2012
28940128,101,3.84,2023
6965063,105,3.83,2015
8022794,106,3.87,2007
28859347,111,3.85,2023
28416388,122,3.85,2017
643127,125,3.81,2005
26319065,128,3.82,2012
11400280,130,3.85,1997
15588933,131,3.85,2004
337721,132,3.83,1995
337706,134,3.82,1992
7859370,137,3.74,2015
4963669,138,3.84,1994
8023225,139,3.9,2008
298776,142,3.82,2003
23626466,143,3.82,2016
6245488,160,3.8,1996
26194247,164,3.77,2022
28635805,166,3.79,2023
10559651,167,3.6,2017
15881674,169,3.71,2020
1868233,173,3.77,1996
249390,175,3.77,1994
9763165,177,3.8,2004
7327183,182,3.79,1994
15752776,185,3.78,2016
1189622,186,3.77,2002
14280606,188,3.71,2019
6925632,189,3.78,1994
12898902,194,3.75,2013
7832122,203,3.76,1997
10854114,204,3.78,2017
268090,212,3.73,1997
12476529,213,3.77,2017
15029938,216,3.76,2015
935961,218,3.76,2000
13297156,222,3.74,2018
233007,226,3.75,1990
5667634,227,3.89,2001
22302910,229,3.71,2022
28570834,231,3.76,2023
4703233,233,3.64,2011
24561,237,3.69,2001
761787,242,3.75,1998
4446694,246,3.71,2003
8193804,247,3.72,2016
17699770,263,3.71,2020
1227083,264,3.88,2006
69859,266,3.73,2001
7558146,268,3.74,2007
18473659,269,3.74,2017
23454917,270,3.7,2021
20975365,274,3.73,2020
705794,276,3.71,1999
12116469,278,3.7,2015
104812,281,3.71,1991
1435845,285,3.71,2008
1685720,286,3.71,2001
530718,290,3.72,1996
8949699,292,3.69,2016
15639329,314,3.68,2020
18689338,317,3.69,2020
7243316,325,3.67,2013
11031924,328,3.71,2003
7160618,329,3.65,2005
4780959,332,3.7,2013
5726711,333,3.68,1993
28090204,338,3.65,2023
20057890,341,3.68,2006
1294997,344,3.68,1992
27997611,347,3.69,2010
3731477,348,3.67,2011
1378376,350,3.66,2000
591382,351,3.68,2003
10965576,357,3.69,2010
11889445,366,3.67,1992
17203033,368,3.68,2006
23947520,374,3.66,2012
23649770,376,3.67,2017
9669809,379,3.64,2017
26248523,380,3.65,2022
16497348,383,3.65,2010
26373872,387,3.59,2023
1378458,389,3.66,1990
28790401,394,3.65,2023
12257288,397,3.67,2013
2112465,398,3.63,2009
3824155,400,3.64,2002
21087838,405,3.63,2021
11079090,410,3.63,1995
12138143,416,3.61,2017
24196355,419,3.63,2016
5483052,425,3.65,1997
4636537,428,3.63,1989
3709454,429,3.65,2007
3657950,430,3.63,2004
1847654,431,3.62,2008
