"album_id","title","extra","artist_name","artist_id","role","label","year","rating","rank"
10808685,The Black Saint And The Sinner Lady,"0,1",Charles Mingus,200815,"Bass, Piano, Composed By",Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Bob Ghiraldini,2236785,"Photography By [Cover, And Liner Photos]",Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Bob Hammer,613198,Arranged By,Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Bob Simpson,323461,Engineer,Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Bob Thiele,253353,Producer,Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Charlie Mariano,252611,Alto Saxophone,Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Dannie Richmond,252607,Drums,Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Dick Hafer,252609,"Tenor Saxophone, Flute",Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Don Butterfield,252606,Tuba,Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Jaki Byard,252610,Piano,Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Jay Berliner,61487,Guitar,Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Jerome Richardson,72480,"Soprano Saxophone, Baritone Saxophone, Flute",Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Joe Lebow,1257151,Design [Liner Design],Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Quentin Jackson,252608,Trombone,Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Richard Williams,43786,Trumpet,Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Robert Flynn (2),1852917,Design [Cover],Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Rolf Ericson,252605,Trumpet,Impulse!,1963,4.33,1
10808685,The Black Saint And The Sinner Lady,1,Rudy Van Gelder,252966,Lacquer Cut By,Impulse!,1963,4.33,1
6890747,A Love Supreme,"0,1",John Coltrane,97545,"Tenor Saxophone [Selmer], Composed By, Liner Notes",Impulse!,1965,4.3,2
6890747,A Love Supreme,1,Bob Thiele,253353,"Producer, Photography By [Cover]",Impulse!,1965,4.3,2
6890747,A Love Supreme,1,Elvin Jones,135885,Drums,Impulse!,1965,4.3,2
6890747,A Love Supreme,1,George Gray (3),1985311,Design [Cover At Viceroy],Impulse!,1965,4.3,2
6890747,A Love Supreme,1,Jimmy Garrison,254065,Bass,Impulse!,1965,4.3,2
6890747,A Love Supreme,1,Joe Lebow,1257151,Design [Liner],Impulse!,1965,4.3,2
6890747,A Love Supreme,1,McCoy Tyner,10620,Piano,Impulse!,1965,4.3,2
6890747,A Love Supreme,1,Rudy Van Gelder,252966,"Engineer [Recording], Mastered By",Impulse!,1965,4.3,2
6890747,A Love Supreme,1,Victor Kalin,1340069,Painting [Liner],Impulse!,1965,4.3,2
