"id","rank","rating","year"
14541297,8,4.07,10 October 1969
549847,11,4.09,February 1971
757945,12,4.05,January 1959
8067003,14,4.01,January 1958
5923976,17,4.03,March 1960
9115866,19,3.98,April 1964
532432,20,3.97,February 1966
20348707,23,3.96,August 1964
4232471,24,3.99,1 September 1961
5067291,35,3.95,18 January 2004
7356015,36,3.95,1979
2684297,42,3.92,December 1966
16953990,44,3.93,January 1965
513736,45,3.94,October 1970
3443549,46,3.92,June 1967
275258,47,3.93,January 1962
890817,56,3.91,1966
2422965,57,3.9,February 1977
1523619,65,3.91,February 1967
758787,66,3.89,December 1960
9422431,68,3.87,23 September 2016
15174528,70,3.88,February 1963
20316430,76,3.87,February 1966
1341634,79,3.85,27 November 1972
1222074,82,3.88,August 1962
3549349,86,3.86,December 1954
12055788,88,3.81,1968
17159428,89,3.86,1955
24241370,90,3.86,November 1967
10635874,101,3.85,May 1974
11743134,103,3.83,July 1956
2694313,106,3.86,February 1976
21827842,108,3.84,October 1964
881029,113,3.83,June 1964
1072337,114,3.84,December 1965
2785498,115,3.85,1973
1889811,121,3.85,28 April 1998
5133248,122,3.83,May 1962
2929682,127,3.8,26 January 1998
1038746,128,3.83,July 1970
1918240,129,3.83,May 1973
405200,133,3.83,January 1971
1442126,134,3.83,October 1967
744153,138,3.84,1958
10359904,140,3.79,1976
7115635,143,3.83,October 1957
10499687,148,3.8,25 May 1979
875495,153,3.81,August 1962
27043818,155,3.8,December 1959
8463432,161,3.8,October 1956
3908402,164,3.84,1995
1328155,165,3.81,18 March 2008
8140570,166,3.82,1956
2040055,175,3.81,January 1966
7924662,176,3.79,2 June 2003
19765438,181,3.81,June 1970
1052701,188,3.8,January 1973
1100954,192,3.8,September 1964
466632,193,3.8,January 1967
2172907,196,3.8,1967
2508028,205,3.8,May 1968
1052604,215,3.78,December 1962
4134181,216,3.79,July 1962
6769190,218,3.8,1957
4262911,223,3.78,1 July 1976
3935317,225,3.81,1979
712232,230,3.79,September 1974
18728518,232,3.78,February 1961
417316,234,3.75,6 May 2002
2577717,241,3.78,1958
2792905,245,3.78,1973
1052620,250,3.77,December 1959
1020318,252,3.78,September 1976
568171,255,3.76,1972
6926274,257,3.78,February 1960
1630905,259,3.77,November 1977
2804432,262,3.78,February 1970
4029126,272,3.77,November 1957
13610596,278,3.78,March 1965
9306003,283,3.78,1978
1184708,285,3.76,May 1968
4834811,287,3.77,May 1969
9129460,293,3.76,1965
435320,294,3.73,5 July 1972
14942158,299,3.76,8 June 1999
1745633,309,3.76,March 1969
4952581,314,3.74,21 July 1978
2013375,317,3.76,1961
11794989,325,3.75,1979
26208785,328,3.75,6 May 1988
21793528,331,3.73,1981
1048986,333,3.75,1997
3137235,335,3.75,1954
19008733,341,3.75,January 1968
2292839,343,3.75,1986
