"id","rank","rating","year"
14246786,5,3.95,1981
2491734,6,4.01,1975
2491734,10,4.0,1962
4797749,11,3.99,1984
18015274,12,3.89,2021
530257,14,3.97,1961
5433356,16,3.96,1999
5111236,17,3.97,1998
1231299,18,3.95,1997
5594499,21,3.98,1974
1080865,23,3.95,2007
1215051,24,3.97,1959
3507687,25,3.94,1998
1081565,26,3.91,2002
2747027,27,3.96,1946
3226688,28,3.93,1968
5510157,29,3.93,1990
3474003,30,3.98,2004
285074,31,3.92,1980
1013215,32,3.97,1990
2624946,33,3.96,1959
530300,34,3.93,1986
10166593,35,3.93,1988
920266,38,3.89,1992
5510157,39,3.92,1992
9536040,41,3.91,1995
2526633,42,3.91,1961
3330854,44,3.91,1994
1132022,46,3.92,1967
8353889,47,3.92,1992
3476047,49,3.93,1975
13578284,50,3.92,2011
4402652,51,3.85,1960
4157426,52,3.91,1972
5284424,53,3.91,1959
7802411,55,3.92,1995
2802629,56,3.9,1959
5011774,57,3.89,1994
1310378,58,3.88,1998
2609054,59,3.9,1977
3012153,60,3.9,1976
1416414,61,3.88,1984
1773831,62,3.89,1971
9763889,64,3.99,1960
116515,65,3.9,1972
3750564,66,3.91,1971
11495548,67,3.9,1962
2025371,71,3.88,1990
3012153,72,3.89,1962
5290599,74,3.9,1940
1962303,75,3.86,1994
6527876,76,3.9,1959
8500224,77,3.9,1981
1186805,79,3.87,1988
3964067,80,3.88,1994
2528371,81,3.89,1987
3731432,84,3.9,1960
2208689,85,3.89,1958
3321022,86,3.89,1964
6731998,87,3.89,1987
7151169,89,3.89,1995
2396724,90,3.87,1967
1307807,92,3.86,1991
4019756,93,3.86,1990
1429342,94,3.87,1997
2921115,95,3.88,1985
1569002,96,3.88,1993
4760039,98,3.88,1963
2478252,99,3.87,1976
2640290,100,3.87,2003
12745618,101,3.84,1989
4024743,102,3.86,1962
7151169,103,4.0,1986
1236919,105,3.88,1983
997365,106,3.85,1989
8048325,107,3.88,1982
1684342,108,3.86,1987
12228009,110,3.85,1978
6708676,112,3.86,1985
1836907,113,3.86,1975
9901452,114,3.87,1999
5521001,115,3.86,1962
5433356,116,3.85,2010
441472,117,3.85,2002
1482980,118,3.86,2000
6950960,119,3.86,1963
1637285,121,3.87,1962
14885232,123,3.87,1963
2640290,124,3.93,1999
897788,125,3.82,1991
2220110,128,3.86,1996
11613618,129,3.87,1971
8432119,130,3.85,2007
3233396,131,3.84,2011
