;Rank;Artist;Album;Date;Genres;RYM Rating;Ratings;Reviews
0;1;Steve Reich;Music for 18 Musicians;April 1978;Minimalism;4.10;12,823;162
1;2;Ludwig van Beethoven;IX. Symphonie;1963;Romanticism, Symphony;4.08;2,780;16
2;3;Frédéric Chopin;The Nocturnes;October 1967;Romanticism, Nocturne;4.02;3,377;26
3;4;Igor Stravinsky;Le sacre du printemps;September 1958;Modern Classical, Ballet, Orchestral;4.01;3,939;37
4;5;Glenn Branca;The Ascension;November 1981;No Wave, Noise Rock, Totalism;3.95;13,077;149
5;6;Ludwig van Beethoven;Symphonie Nr.5;April 1975;Symphony, Romanticism;4.01;1,722;7
6;7;Arvo Pärt;Tabula rasa;September 1984;Holy Minimalism, Minimalism;3.97;6,885;85
7;8;Wolfgang Amadeus Mozart;Requiem;1971;Classical Period, Requiem;4.01;930;5
8;9;Steve Reich;Music for 18 Musicians;31 March 1998;Minimalism;3.98;3,198;28
9;10;Ludwig van Beethoven;Symphonie Nr. 5;1962;Symphony, Classical Period, Romanticism;4.00;1,009;6
10;11;Antonín Dvořák;Symphony No. 9 'From the New World';1984;Romanticism, Symphony;3.99;752;4
11;12;Floating Points;Promises;26 March 2021;Post-Minimalism, Third Stream;3.89;16,122;137
12;13;Antonín Dvořák;Symphonie No. 9 / Moldau;1985;Romanticism, Symphony;3.98;748;3
13;14;Igor Stravinsky;Stravinsky Conducts Le sacre du printemps;April 1961;Modern Classical, Ballet, Orchestral;3.97;1,495;6
14;15;Johann Sebastian Bach;The Goldberg Variations;2 September 1982;Baroque Music;3.95;3,233;48
15;16;Johann Sebastian Bach;Matthäus-Passion;16 November 1999;Baroque Music, Oratorio, Christian Liturgical Music;3.96;1,383;11
16;17; Pyotr Tchaikovsky ;The Nutcracker;5 October 1998;Romanticism, Orchestral, Ballet;3.97;761;8
17;18;Béla Bartók;The 6 String Quartets;1 December 1997;Modern Classical, Chamber Music;3.95;1,370;10
18;19;Johann Sebastian Bach;Mass in B minor;1985;Baroque Music, Mass, Christian Liturgical Music;3.95;1,479;13
19;20;Wolfgang Amadeus Mozart;Requiem;1987;Classical Period, Choral, Requiem;3.95;1,346;10
20;21;Antonín Dvořák;»Aus der Neuen Welt«;1974;Romanticism, Symphony;3.98;325;3
21;22;Philip Glass;Glassworks;March 1982;Minimalism;3.91;7,062;67
22;23;Steve Reich;Music for 18 Musicians;16 October 2007;Minimalism;3.95;780;2
23;24;Ludwig van Beethoven;"IX. Sinfonie; Egmont-Ouverture; Leonore III";1959;Symphony, Romanticism, Choral Symphony;3.97;349;6
24;25;Johannes Brahms;Symphonie No. 4;6 January 1998;Symphony, Romanticism;3.94;1,414;16
25;26;Morton Feldman;Feldman Edition 6: String Quartet No. 2;2002;Modern Classical, Chamber Music;3.91;1,138;22
26;27; Sergei Rachmaninoff ;Piano Concerto No. 2 in C minor;1946;Romanticism, Concerto;3.96;389;1
27;28;György Ligeti;"Requiem; Lontano; Continuum";1968;Modern Classical, Requiem, Choral;3.93;1,144;3
28;29;Johann Sebastian Bach;Die Kunst der Fuge;1990;Baroque Music;3.93;1,055;3
29;30;Ludwig van Beethoven;The Late String Quartets;2 November 2004;Chamber Music, Romanticism;3.98;322;
30;31;Steve Reich;"Octet; Music for a Large Ensemble; Violin Phase";September 1980;Minimalism;3.92;2,350;19
31;32;Johann Sebastian Bach;St. John Passion;25 October 1990;Baroque Music, Oratorio, Christian Liturgical Music;3.97;291;
32;33; Dmitri Shostakovich ;Symphony No. 5, Op. 47;December 1959;Symphony, Modern Classical;3.96;291;2
33;34;Ludwig van Beethoven;"Symphony No. 9 ""Choral""";1986;Romanticism, Symphony, Choral Symphony;3.93;539;4
34;35;Frédéric Chopin;"4 Balladen; Barcarolle; Fantasie";8 July 1988;Romanticism;3.93;615;3
35;36;Ryuichi Sakamoto;1996;17 May 1996;Modern Classical, Chamber Music;3.90;3,967;16
36;37;Johann Sebastian Bach;6 Brandenburgische Konzerte;1982;Baroque Music, Concerto grosso;3.93;444;4
37;38;Henryk Mikołaj Górecki;Symphony No. 3;24 April 1992;Symphony, Modern Classical, Holy Minimalism;3.89;3,365;44
38;39;Johann Sebastian Bach;Die Kunst der Fuge;August 1992;Baroque Music;3.92;626;2
39;40;Frédéric Chopin;Complete / Sämtliche / Les 21 nocturnes;1978;Romanticism, Nocturne;3.94;480;6
40;41;Erik Satie;"Gnossiennes; Gymnopédies; Ogives; Trois sarabandes; Petite ouverture à danser";1 October 1995;Impressionism;3.91;1,914;21
41;42;Johann Sebastian Bach;Sechs Suiten für Violoncello Solo BWV 1007-1012;1961;Baroque Music, Baroque Suite;3.91;1,165;7
42;43;Gustav Holst;The Planets;April 1987;Modern Classical, Tone Poem;3.93;422;6
43;44;Arnold Schoenberg;Arnold Schoenberg 2: Streichquartette I-IV;1994;Expressionism, Chamber Music, Serialism;3.91;1,421;8
44;45;Philip Glass;Koyaanisqatsi;27 October 1998;Minimalism;3.91;1,159;8
45;46; Sergei Prokofiev ;Klavierkonzert Nr. 3 C-Dur / Klavierkonzert G-Dur;1967;Modern Classical, Concerto;3.92;757;5
46;47;Igor Stravinsky;"Pétrouchka; Le Sacre du printemps";3 August 1992;Modern Classical, Orchestral, Ballet;3.92;630;2
47;48;Johann Sebastian Bach;The Goldberg Variations;1 March 1956;Baroque Music;3.89;2,967;35
48;49;Wolfgang Amadeus Mozart;Klavierkonzerte Nr. 20 & 21;1975;Classical Period, Concerto;3.93;382;1
49;50;Johann Sebastian Bach;Johannes Passion Version IV (1749);22 November 2011;Oratorio, Baroque Music, Christian Liturgical Music;3.92;488;3
50;51;Miles Davis;Sketches of Spain;18 July 1960;Third Stream, Modal Jazz, Spanish Classical Music;3.85;12,079;143
51;52;Frédéric Chopin;Études Op.10 & Op.25;1972;Romanticism, Étude;3.91;872;9
52;53;Johann Sebastian Bach;Passio secundum Matthaeum;August 1959;Baroque Music, Oratorio, Christian Liturgical Music;3.91;373;4
53;54;Johann Sebastian Bach;Suites for Violoncello Solo, BWV 1007-1012;1992;Baroque Music, Baroque Suite;3.92;369;1
54;55;Maurice Ravel;"Miroirs; Jeux d'eau; Pavane pour une infante défunte";14 August 1995;Impressionism;3.92;441;1
55;56;George Gershwin;"Rhapsody in Blue; An American in Paris";December 1959;Modern Classical, Orchestral;3.90;1,343;17
56;57;Henryk Mikołaj Górecki;"Symphony No. 3 (Symphony of Sorrowful Songs); 3 Olden Style Pieces";28 June 1994;Modern Classical, Symphony, Holy Minimalism;3.89;734;4
57;58; Chou Wen-chung ;The Complete Works;15 September 1998;Modern Classical;3.88;1,242;13
58;59;Frédéric Chopin;"24 Préludes, Op. 28; Préludes Nr. 25, Op. 45; Nr. 26, Op. Posth.";1977;Romanticism, Prelude;3.90;916;2
59;60;Ludwig van Beethoven;Symphonie Nr.7;September 1976;Symphony, Classical Period;3.90;551;
60;61;Erik Satie;3 Gymnopédies & Other Piano Works · und andere Klavierstücke;2 May 1984;Impressionism;3.88;2,284;22
61;62;Arnold Schoenberg;Neue Wiener Schule: Die Streichquartette;November 1971;Serialism, Chamber Music;3.89;811;11
62;63;Giacomo Puccini;Turandot;1973;Opera, Romanticism;3.92;309;3
63;64;Antonín Dvořák;"Sinfonie E-moll ""Aus der neuen Welt"" (Nouveau monde)";June 1960;Romanticism, Symphony;3.99;257;3
64;65;Ludwig van Beethoven;Clockwork Orange;June 1972;Moogsploitation, Western Classical Music, Film Soundtrack;3.90;888;16
65;66;Ludwig van Beethoven;Symphonie Nr. 6 »Pastorale«;November 1971;Symphony, Romanticism;3.91;429;7
66;67;Ludwig van Beethoven;"""Pastorale""";1962;Symphony, Romanticism, Classical Period;3.90;438;2
67;68;Johann Sebastian Bach;Matthäus-Passion;20 March 2001;Baroque Music, Oratorio, Christian Liturgical Music;3.89;578;1
68;69;Frédéric Chopin;Nocturnes;October 2005;Romanticism, Nocturne;3.90;466;2
69;70;Igor Stravinsky;Boulez Conducts Stravinsky's Le sacre du printemps;1969;Modern Classical, Orchestral, Ballet;3.94;269;1
70;71;Giacinto Scelsi;"Les cinq quatuors à cordes; Trio à cordes; Khoom";1990;Modern Classical, Chamber Music;3.88;709;7
71;72;Ludwig van Beethoven;Symphonie Nr. 7;1962;Symphony, Romanticism;3.89;544;
72;73;Antonio Vivaldi;The Four Seasons;1970;Baroque Music, Concerto;3.88;956;6
73;74;Igor Stravinsky;Le sacre du printemps;11 September 1940;Modern Classical, Orchestral, Ballet;3.90;409;3
74;75; Iannis Xenakis ;Iannis Xenakis 1: Chamber Music 1955-1990;1994;Chamber Music, Stochastic Music;3.86;930;4
75;76;Antonín Dvořák;New World Symphony / The Moldau;August 1959;Romanticism, Symphony;3.90;432;3
76;77;Ludwig van Beethoven;"Klaviersonaten: »Mondschein (Moonlight)«; Nr. 13; »Pathétique«";1981;Romanticism, Sonata;3.90;372;1
77;78;Richard Wagner;Das Rheingold;August 1959;Romanticism, Opera;3.89;388;4
78;79;Olivier Messiaen;Quatuor pour la fin du temps;5 April 1988;Modern Classical, Chamber Music;3.87;1,304;9
79;80; Alfred Schnittke ;Choir Concerto;1994;Modern Classical, Choral Concerto;3.88;624;6
80;81; Alfred Schnittke ;"Concerto grosso I; Concerto for Oboe and Harp; Concerto for Piano and Strings";January 1987;Concerto, Serialism, Chamber Music;3.89;414;5
81;82;Béla Bartók;The Six String Quartets;March 1965;Chamber Music, Modern Classical;3.91;245;3
82;83;Richard Wagner;Tristan und Isolde;10 November 1952;Opera, Romanticism;3.86;674;8
83;84; Sergei Rachmaninoff ;"Klavierkonzert Nr. 2 in c-Moll; 6 Preludes";1960;Romanticism;3.90;355;3
84;85; Pyotr Tchaikovsky ;Concerto No. 1;1958;Romanticism, Concerto;3.89;476;4
85;86; Dmitri Shostakovich ;Симфония № 5;1964;Modern Classical, Symphony;3.89;435;5
86;87; Pyotr Tchaikovsky ;"Symphony No. 6 ""Pathétique""";2 February 1987;Romanticism, Symphony;3.89;412;3
87;88;Philip Glass;Einstein on the Beach;1979;Minimalism, Opera;3.85;1,522;30
88;89;Gustav Mahler;Symphonie No. 6;March 1995;Symphony, Romanticism;3.89;360;4
89;90;Gustav Mahler;Das Lied von der Erde;1967;Romanticism, Orchestral Song, Symphony;3.87;574;5
90;91;Steve Reich;Variations for Winds, Strings and Keyboards / Shaker Loops;1984;Minimalism;3.89;362;4
91;92;Anton Webern;Complete Works Opp 1-31;26 February 1991;Serialism, Modern Classical;3.86;992;14
92;93; Alfred Schnittke ;String Quartets Nos. 1-3;February 1990;Chamber Music, Modern Classical;3.86;787;8
93;94;György Ligeti;György Ligeti Edition 3: Works for Piano - Études, Musica ricercata;28 January 1997;Modern Classical, Étude;3.87;639;3
94;95; Pyotr Tchaikovsky ;Swan Lake;1985;Romanticism, Ballet, Orchestral;3.88;385;3
95;96;Johann Sebastian Bach;Complete Sonatas and Partitas for Solo Violin;15 October 1993;Baroque Music, Sonata, Baroque Suite;3.88;322;4
96;97;Olivier Messiaen;Vingt regards sur l'enfant-Jésus;September 2002;Modern Classical;3.86;543;4
97;98;Gustav Mahler;"Symphony No. 2 ""Resurrection""";1963;Romanticism, Symphony, Choral Symphony;3.88;400;6
98;99;Olivier Messiaen;Tashi Plays Messiaen: Quartet for the End of Time;May 1976;Modern Classical, Chamber Music;3.87;597;
99;100;Johann Sebastian Bach;Variations Goldberg BWV 988;2003;Baroque Music;3.87;566;1
100;101;Steve Reich;"Different Trains; Electric Counterpoint";3 March 1989;Minimalism, Chamber Music;3.84;3,450;40
101;102;Wolfgang Amadeus Mozart;Requiem KV 626;1962;Classical Period, Choral, Requiem;3.86;567;6
102;103;Gustav Mahler;Symphonie No. 9;November 1986;Romanticism, Symphony;4.00;251;3
103;104;Wolfgang Amadeus Mozart;Requiem;1967;Classical Period, Choral, Requiem;3.87;541;5
104;105;Maurice Ravel;"Boléro; La valse; Pavane pour une infante défunte; Daphnis et Chloé: Suite No.2";1983;Impressionism, Orchestral, Ballet;3.88;364;5
105;106;Giacinto Scelsi;"Quattro pezzi per orchestra; Anahit; Uaxuctum";1989;Microtonal Classical, Orchestral;3.85;842;9
106;107;Antonio Vivaldi;Le quattro stagioni;October 1982;Baroque Music, Concerto;3.88;298;3
107;108; Alfred Schnittke ;Symphony No. 1;1987;Symphony, Modern Classical;3.86;350;2
108;109;Philip Glass;Einstein on the Beach;28 September 1993;Minimalism, Opera;3.84;588;4
109;110;Claude Debussy;Préludes · Volume 1;December 1978;Impressionism, Prelude;3.85;968;5
110;111;Zakir Hussain & Shivkumar Sharma;Rāg Madhuvantī / Rāg Miśra Tilang;1988;Hindustani Classical Music;3.85;928;5
111;112;Claude Debussy;"Suite bergamasque; Children's Corner; Estampes; L'isle joyeuse; La fille aux cheveux de lin; La plus que lente; Etude pour les arpèges";1985;Impressionism;3.86;566;4
112;113;Frédéric Chopin;24 Préludes, Op. 28;September 1975;Romanticism, Prelude;3.86;511;7
113;114;Arvo Pärt;"Tabula rasa; Fratres; Symphony No. 3";9 June 1999;Symphony, Holy Minimalism, Modern Classical;3.87;390;1
114;115;Johannes Brahms;A German Requiem;26 November 1962;Romanticism, Choral, Requiem;3.86;518;7
115;116;Johann Sebastian Bach;Matthäus-Passion;13 April 2010;Baroque Music, Oratorio, Christian Liturgical Music;3.85;577;1
116;117;György Ligeti;"The Ligeti Project II: Lontano; Atmosphères; Apparitions; San Francisco Polyphony; Concert românesc";11 June 2002;Modern Classical, Orchestral;3.85;798;11
117;118;Johann Sebastian Bach;Actus tragicus: Cantates BWV 4, 12, 106 & 196;20 March 2000;Baroque Music, Cantata;3.86;399;2
118;119;Ludwig van Beethoven;"""Eroica""";1963;Symphony, Classical Period;3.86;438;5
119;120;Frédéric Chopin;Piano Concertos Nos. 1 & 2;30 September 1999;Romanticism, Concerto;3.87;285;3
120;121;Igor Stravinsky;Stravinsky Conducts Stravinsky: The Firebird - The Complete Ballet in the Original 1910 Orchestration;16 April 1962;Modern Classical, Orchestral, Ballet;3.87;333;2
121;122;A Silver Mt. Zion;He Has Left Us Alone but Shafts of Light Sometimes Grace the Corner of Our Rooms...;13 March 2000;Post-Rock, Modern Classical, Chamber Music;3.78;11,571;112
122;123;Wolfgang Amadeus Mozart;Symphonien Nr. 40 g-Moll (In G minor) & Nr. 41 »Jupiter«;1963;Classical Period, Symphony;3.87;308;
123;124;Johann Sebastian Bach;Goldberg Variations BWV 988;16 August 1999;Baroque Music;3.93;318;1
124;125;Morton Feldman;"Rothko Chapel; Why Patterns?";1991;Modern Classical, Chamber Music;3.82;2,409;29
125;126;Hector Berlioz;Symphonie fantastique;August 1964;Romanticism, Symphony;3.85;459;4
126;127;Gustav Mahler;Symphonie No. 5;1997;Symphony, Romanticism;3.85;446;1
127;128;Béla Bartók;"The Miraculous Mandarin; Music for Strings, Percussion and Celesta";9 April 1996;Modern Classical, Orchestral, Ballet;3.86;311;3
128;129;Claude Debussy;"Images I/II; Children's Corner";December 1971;Impressionism;3.87;310;3
129;130;Leo Ornstein;Complete Works for Cello and Piano;January 2007;Modern Classical, Chamber Music;3.85;503;3
