;Rank;Artist;Album;Date;Genres;RYM Rating;Ratings;Reviews
0;1;Kendrick Lamar;To Pimp a Butterfly;15 March 2015;Conscious Hip Hop, West Coast Hip Hop, Jazz Rap;4.37;71,157;605
1;2;Madvillain;Madvillainy;23 March 2004;Abstract Hip Hop;4.34;55,416;471
2;3;Kendrick Lamar;good kid, m.A.A.d city;22 October 2012;West Coast Hip Hop, Conscious Hip Hop;4.30;59,977;384
3;4;Nas;Illmatic;19 April 1994;East Coast Hip Hop, Boom Bap, Hardcore Hip Hop;4.25;44,729;667
4;5;Wu-Tang Clan;Enter the Wu-Tang (36 Chambers);9 November 1993;East Coast Hip Hop, Boom Bap, Hardcore Hip Hop;4.23;38,203;454
5;6;Kanye West;My Beautiful Dark Twisted Fantasy;22 November 2010;Pop Rap, Hip Hop;4.09;69,764;737
6;7;Death Grips;The Money Store;24 April 2012;Industrial Hip Hop, Hardcore Hip Hop, Experimental Hip Hop;4.10;53,559;376
7;8;Kanye West;The College Dropout;10 February 2004;Chipmunk Soul, Pop Rap;4.11;52,579;372
8;9;Danny Brown;Atrocity Exhibition;30 September 2016;Experimental Hip Hop, Hardcore Hip Hop;4.14;37,875;252
9;10;A Tribe Called Quest;The Low End Theory;24 September 1991;Jazz Rap, East Coast Hip Hop, Conscious Hip Hop;4.15;34,477;313
10;11;MF DOOM;MM..FOOD;16 November 2004;East Coast Hip Hop, Abstract Hip Hop;4.14;33,006;198
11;12;DJ Shadow;Endtroducing.....;19 November 1996;Instrumental Hip Hop, Experimental Hip Hop, Plunderphonics;4.13;35,632;402
12;13;J Dilla;Donuts;7 February 2006;Instrumental Hip Hop;4.13;28,200;323
13;14;OutKast;Aquemini;29 September 1998;Southern Hip Hop, Conscious Hip Hop;4.13;22,750;185
14;15;Kanye West;Late Registration;30 August 2005;Pop Rap, Hip Hop;4.03;46,205;300
15;16;A Tribe Called Quest;Midnight Marauders;9 November 1993;East Coast Hip Hop, Jazz Rap, Boom Bap;4.12;22,337;197
16;17;Genius/GZA;Liquid Swords;7 November 1995;East Coast Hip Hop, Hardcore Hip Hop, Boom Bap;4.11;22,853;349
17;18;Freddie Gibbs & Madlib;Piñata;18 March 2014;Gangsta Rap;4.06;25,033;143
18;19;Mobb Deep;The Infamous;25 April 1995;East Coast Hip Hop, Boom Bap, Gangsta Rap;4.09;15,781;201
19;20;OutKast;ATLiens;27 August 1996;Southern Hip Hop;4.06;18,513;137
20;21;The Notorious B.I.G.;Ready to Die;13 September 1994;East Coast Hip Hop, Gangsta Rap, Boom Bap;4.05;21,095;259
21;22;JPEGMAFIA;LP!;22 October 2021;Experimental Hip Hop, Hardcore Hip Hop;4.01;23,447;172
22;23;A Tribe Called Quest;We got it from Here… Thank You 4 Your service;11 November 2016;Conscious Hip Hop, East Coast Hip Hop, Jazz Rap;4.04;18,472;117
23;24;Tyler, the Creator;Flower Boy;21 July 2017;West Coast Hip Hop, Neo-Soul;3.92;45,283;257
24;25;Death Grips;Jenny Death: The Powers That B Disc 2;19 March 2015;Noise Rock, Experimental Hip Hop, Industrial Hip Hop;4.02;17,423;50
25;26;Mos Def;Black on Both Sides;12 October 1999;East Coast Hip Hop, Conscious Hip Hop;4.04;14,595;147
26;27;KIDS SEE GHOSTS;KIDS SEE GHOSTS;8 June 2018;Pop Rap, Experimental Hip Hop;3.89;42,278;290
27;28;Lauryn Hill;The Miseducation of Lauryn Hill;25 August 1998;Neo-Soul, Contemporary R&B, East Coast Hip Hop;4.00;17,023;174
28;29;Little Simz;Sometimes I Might Be Introvert;3 September 2021;UK Hip Hop, Conscious Hip Hop;3.97;20,877;169
