;Rank;Artist;Album;Date;Genres;RYM Rating;Ratings;Reviews
0;1;Mingus;The Black Saint and the Sinner Lady;July 1963;Avant-Garde Jazz, Third Stream;4.33;27,710;418
1;2;John Coltrane;A Love Supreme;January 1965;Spiritual Jazz, Avant-Garde Jazz;4.30;32,819;480
2;3;Miles Davis;Kind of Blue;17 August 1959;Modal Jazz, Cool Jazz;4.22;38,326;602
3;4;Miles Davis;In a Silent Way;30 July 1969;Jazz Fusion, Modal Jazz;4.22;22,873;315
4;5;Miles Davis;Bitches Brew;30 March 1970;Jazz Fusion, Avant-Garde Jazz;4.18;24,671;355
5;6;Pharoah Sanders;Karma;May 1969;Spiritual Jazz, Avant-Garde Jazz;4.16;14,503;178
6;7;John Coltrane;Giant Steps;27 January 1960;Hard Bop;4.10;18,009;216
7;8;Frank Zappa;Hot Rats;10 October 1969;Jazz-Rock, Jazz Fusion;4.07;24,525;389
8;9;John Coltrane;My Favorite Things;March 1961;Modal Jazz, Post-Bop;4.10;15,268;170
9;10;Charles Mingus;Mingus Ah Um;14 September 1959;Post-Bop;4.08;15,078;173
10;11;Alice Coltrane featuring Pharoah Sanders;Journey in Satchidananda;February 1971;Spiritual Jazz, Avant-Garde Jazz;4.09;11,359;98
11;12;Art Blakey and The Jazz Messengers;Art Blakey and The Jazz Messengers [Moanin'];January 1959;Hard Bop;4.05;9,706;108
12;13;Miles Davis;Get Up With It;22 November 1974;Jazz Fusion, Jazz-Funk, Avant-Garde Jazz;4.05;7,947;113
13;14;John Coltrane;Blue Train;January 1958;Hard Bop;4.01;15,256;159
14;15;Herbie Hancock;Head Hunters;13 October 1973;Jazz-Funk, Jazz Fusion;3.99;16,728;173
15;16;Charles Mingus;Let My Children Hear Music;February 1972;Third Stream, Experimental Big Band;4.04;6,601;64
16;17;Charlie Mingus;Blues & Roots;March 1960;Post-Bop;4.03;7,832;124
17;18;Nina Simone;Pastel Blues;October 1965;Vocal Jazz, Soul, Rhythm & Blues;4.01;8,205;66
18;19;Stan Getz & João Gilberto;Getz / Gilberto;April 1964;Bossa nova, Samba-jazz;3.98;12,750;143
19;20;John Coltrane;Ascension [Edition I];February 1966;Free Jazz, Spiritual Jazz;3.97;9,259;132
20;21;Ornette Coleman;The Shape of Jazz to Come;November 1959;Avant-Garde Jazz;3.97;11,817;121
21;22;Sun Ra;Lanquidity;1978;Jazz Fusion;3.98;8,280;60
22;23;Eric Dolphy;Out to Lunch;August 1964;Avant-Garde Jazz;3.96;10,699;161
23;24;The John Coltrane Quartet;Africa / Brass;1 September 1961;Modal Jazz, Post-Bop;3.99;5,929;59
24;25;John Coltrane;Olé Coltrane;November 1961;Modal Jazz;3.97;6,565;89
25;26;Pharoah Sanders;Black Unity;February 1972;Spiritual Jazz, Avant-Garde Jazz;3.98;4,533;44
