;Rank;Artist;Album;Date;Genres;RYM Rating;Ratings;Reviews
2001;2002;Miles Davis;Aura;12 September 1989;Avant-Garde Jazz, Jazz Fusion, Smooth Jazz;3.30;746;19
2002;2003;Mammal Hands;Captured Spirits;11 September 2020;Jazz, ECM Style Jazz;3.45;239;3
2003;2004;Mike Westbrook;Metropolis;1971;Experimental Big Band;3.68;177;3
2004;2005;Tom Misch;Geography;6 April 2018;Neo-Soul, Jazz-Funk;3.29;1,051;6
2005;2006;Snarky Puppy;Immigrance;15 March 2019;Jazz Fusion, Progressive Big Band;3.30;466;2
2006;2007;Ezra Collective;You Can't Steal My Joy;26 April 2019;Jazz Fusion;3.31;356;2
2007;2008;David Torn;Prezens;17 April 2007;Avant-Garde Jazz, Dark Jazz;3.50;243;2
2008;2009;Arthur Verocai;Encore;2007;MPB, Samba-jazz;3.65;190;4
2009;2010;Barry Guy;Double Trouble Two;1998;Experimental Big Band, Avant-Garde Jazz;3.67;207;3
2010;2011;Bernard Wright;'Nard;1981;Jazz-Funk;3.56;206;4
2011;2012;Aziza Mustafa Zadeh;Always;1993;Jazz, Post-Bop;3.55;217;9
2012;2013;J.J. Johnson;The Eminent Jay Jay Johnson, Vol. 2;1955;Bebop;3.64;196;3
2013;2014;Amalgam;Prayer for Peace;1969;Avant-Garde Jazz, European Free Jazz;3.65;202;4
2014;2015;Andrew Hill;Blue Black;1977;Post-Bop;3.75;173;3
2015;2016;Machito;Kenya;1958;Afro-Cuban Jazz, Big Band;3.28;793;23
2016;2017;The Heliocentrics;Infinity of Now;14 February 2020;Jazz Fusion, Nu Jazz;3.31;356;5
2017;2018;Spyro Gyra;Carnaval;1980;Smooth Jazz, Jazz Fusion, Jazz-Rock;3.32;278;4
2018;2019;John Coltrane;Standard Coltrane;2 October 1962;Hard Bop;3.31;416;7
2019;2020; Maki Asakawa [浅川マキ];Maki II;5 September 1971;Vocal Jazz, Singer-Songwriter, Enka;3.53;250;3
2020;2021;Blue Mitchell;Blue's Moods;1960;Hard Bop;3.71;175;
2021;2022;Norah Jones;Pick Me Up Off the Floor;12 June 2020;Vocal Jazz, Jazz Pop;3.30;401;10
2022;2023;Satanique Samba Trio;Sangrou;2007;Samba-jazz, Avant-Garde Jazz, Brutal Prog;3.40;263;4
2023;2024;Offering;Part 1 - Part 2;1986;Jazz Fusion, Spiritual Jazz, Third Stream;3.65;183;6
2024;2025;;Yesterday's Universe;17 July 2007;Avant-Garde Jazz, Jazz Fusion;3.54;221;9
2025;2026;The Eleventh House;Level One;1975;Jazz Fusion, Jazz-Rock;3.64;189;6
2026;2027;Michael Brecker;Tales From the Hudson;10 September 1996;Post-Bop;3.67;197;2
2027;2028;The Joe McPhee Quartet;Underground Railroad;1969;Free Jazz;3.71;189;3
2028;2029;Budos Band;V;12 April 2019;Funk Rock, Jazz-Funk, Heavy Psych;3.30;356;4
2029;2030;The Heliocentrics;A World of Masks;26 May 2017;Jazz Fusion, Jazz-Funk;3.30;303;6
2030;2031;Akira Ishikawa & Count Buffalos;African Rock (アフリカン・ロック);1971;Jazz Fusion, Jazz-Rock;3.47;226;6
2031;2032;Jimmy McGriff;Electric Funk;August 1970;Soul Jazz, Jazz-Funk;3.57;219;9
2032;2033;Masada;ה (Hei);25 November 1995;Avant-Garde Jazz, Klezmer;3.59;224;3
2033;2034;Joe Farrell Quartet;Joe Farrell Quartet;November 1970;Post-Bop, Jazz Fusion;3.59;194;6
2034;2035;Genevieve Artadi;Forever Forever;17 March 2023;Art Pop, Jazz Fusion, Nu Jazz;3.30;321;4
2035;2036;Nérija;Blume;2 August 2019;Jazz Fusion;3.31;270;3
2036;2037;Radare;Im Argen;25 September 2015;Dark Jazz;3.42;254;
2037;2038;Jan Garbarek;Ragas and Sagas;1 October 1992;Hindustani Classical Music, ECM Style Jazz, Indo Jazz;3.50;249;4
2038;2039;Tin Hat Trio;Helium;11 April 2000;Chamber Jazz, Klezmer;3.53;239;5
2039;2040;Pat Metheny Unity Group;Kin (← →);4 February 2014;Jazz, Chamber Jazz;3.32;283;1
2040;2041;Gil Scott-Heron;Spirits;29 March 1994;Soul Jazz;3.58;224;4
2041;2042;Letícia Garcia;Magamaquiavérica em canturbano;1984;Vanguarda paulista, Chamber Jazz, Samba;3.59;198;5
2042;2043; Gétatchèw Mèkurya [ጌታቸው መኩሪያ];Y'Anbessaw Tezeta;9 July 2012;Ethio-Jazz;3.53;210;3
2043;2044;Linda Fredriksson;Juniper;29 October 2021;Avant-Garde Jazz;3.63;177;1
2044;2045;Horace Silver Quintet;Further Explorations by the Horace Silver Quintet;May 1958;Hard Bop;3.66;194;4
2045;2046;David Axelrod;Earth Rot;22 April 1970;Baroque Pop, Lounge, Jazz Fusion;3.29;327;8
2046;2047;Red Garland;Dig It!;August 1962;Bebop;3.34;289;6
2047;2048;Roy Ayers Ubiquity;Virgo Red;August 1973;Jazz-Funk, Soul Jazz;3.59;206;5
2048;2049;Eberhard Weber Colours;Little Movements;October 1980;Chamber Jazz, ECM Style Jazz;3.64;191;1
2049;2050;Kamaal Williams;The Return;25 May 2018;Jazz-Funk, Jazz Fusion;3.29;602;3
2050;2051;Bobbi Humphrey;Satin Doll;November 1974;Jazz-Funk, Soul Jazz, Smooth Jazz;3.52;214;8
2051;2052;Cal Tjader;Soul Sauce;1965;Latin Jazz, Mambo;3.53;223;3
2052;2053;The George Benson Quartet;It's Uptown;1966;Soul Jazz;3.54;222;4
2053;2054;Donald Byrd;Off to the Races;March 1959;Hard Bop;3.61;207;3
2054;2055;Rahsaan Roland Kirk;Natural Black Inventions: Root Strata;July 1971;Avant-Garde Jazz;3.56;227;9
2055;2056;Cassandra Wilson;Traveling Miles;23 March 1999;Vocal Jazz, Soul Jazz;3.64;229;3
2056;2057;Rahsaan Roland Kirk;Kirk's Work;1961;Soul Jazz, Hard Bop;3.44;258;6
2057;2058;The Pointer Sisters;The Pointer Sisters;May 1973;Soul, Vocal Jazz;3.61;200;5
2058;2059;Bill Frisell;Blues Dream;30 January 2001;Jazz Fusion;3.63;221;5
2059;2060;Les McCann;Layers;February 1974;Jazz Fusion;3.59;205;7
2060;2061;Johnny Hammond;Gears;November 1975;Jazz-Funk;3.63;197;2
2061;2062;Vijay Iyer;A Cosmic Rhythm With Each Stroke;25 March 2016;ECM Style Jazz;3.28;502;7
2062;2063;Joni Mitchell;Travelogue;19 November 2002;Vocal Jazz, Singer-Songwriter;3.26;510;24
2063;2064;Ibrahim Maalouf;Illusions;5 November 2013;Jazz Fusion;3.53;220;3
2064;2065;Elis;Como & porque;1969;MPB, Samba-jazz;3.57;201;4
2065;2066;James Blood Ulmer;Black Rock;November 1982;Jazz-Funk;3.65;179;3
2066;2067;Nicola Conte;Jet Sounds;9 October 2000;Nu Jazz, Samba-jazz;3.58;216;3
2067;2068;;Skullgirls Original Soundtrack;21 April 2012;Video Game Music, Jazz Fusion;3.79;171;
2068;2069;Baden Powell;Images on Guitar;October 1971;Samba-jazz;3.75;165;6
2069;2070;Matana Roberts;The Chicago Project;11 February 2008;Avant-Garde Jazz;3.45;259;4
2070;2071;Miles Davis;Collectors' Items;December 1956;Hard Bop;3.28;479;6
2071;2072;Alice Coltrane;Radha-Kṛṣṇa Nama Sankirtana;1977;Spiritual Jazz, New Age Kirtan, Indo Jazz;3.29;315;6
2072;2073;Marzette Watts;Marzette and Company;1968;Free Jazz;3.53;221;4
2073;2074;Sun Ra Arkestra;Living Sky;7 October 2022;Avant-Garde Jazz;3.59;198;3
2074;2075;The Square;Truth;1 April 1987;Jazz Fusion, Smooth Jazz;3.65;193;1
2075;2076;Michał Urbaniak;Fusion III;May 1975;Jazz Fusion, Jazz-Rock;3.67;194;9
2076;2077;Johnny Coles;Little Johnny C;March 1964;Hard Bop;3.72;180;5
2077;2078;Weather Report;Mr. Gone;September 1978;Jazz Fusion;3.27;691;16
2078;2079;;A Symposium of Swing;September 1937;Swing;3.55;199;4
2079;2080;Booker Little;Booker Little and Friend;1962;Hard Bop;3.74;174;4
2080;2081;Charles Gayle Trio;Streets;14 February 2012;Free Jazz;3.36;276;11
2081;2082;The Crusaders;Street Life;9 December 1979;Jazz-Funk, Jazz Pop, Soul Jazz;3.26;589;9
2082;2083;Ramsey Lewis;Mother Nature's Son;1969;Smooth Jazz, Jazz-Funk;3.50;216;7
2083;2084;Panzerballett;Starke Stücke;22 February 2008;Jazz Fusion, Progressive Metal;3.55;241;11
2084;2085;Jimmy Giuffre;Fusion;1961;Avant-Garde Jazz, Cool Jazz;3.64;189;1
2085;2086;Sound Directions;The Funky Side of Life;4 October 2005;Jazz-Funk;3.51;232;5
2086;2087;Ornette, The Original Quartet & Prime Time;In All Languages;1987;Free Jazz;3.54;227;6
2087;2088;Fire!;The Hands;18 January 2018;Jazz-Rock, Avant-Garde Jazz;3.27;693;3
2088;2089;Grant Green;The Latin Bit;May 1963;Latin Jazz;3.48;234;8
2089;2090;Ju Ju;A Message From Mozambique;1973;Free Jazz, Spiritual Jazz;3.50;222;7
2090;2091;Phineas Newborn Jr.;The Great Jazz Piano of Phineas Newborn Jr.;1963;Hard Bop;3.79;169;1
2091;2092;The George Benson Quartet;The George Benson Cookbook;March 1967;Soul Jazz;3.56;216;9
2092;2093;Jon Hassell;City: Works of Fiction;1990;Jazz Fusion;3.43;231;5
2093;2094;John McLaughlin;Where Fortune Smiles;1971;Jazz Fusion, Avant-Garde Jazz;3.34;272;9
2094;2095;Joe Harriott Quintet;Free Form;1961;Avant-Garde Jazz, Post-Bop;3.54;213;3
2095;2096;The Dave Brubeck Quartet;Countdown: Time in Outer Space;1962;Cool Jazz;3.60;211;4
2096;2097;Herbie Hancock;Sunlight;July 1978;Jazz-Funk, Jazz Fusion;3.26;577;13
2097;2098;Mose Allison;Back Country Suite;1957;Hard Bop;3.51;218;1
2098;2099;Joni Mitchell;Mingus;13 June 1979;Vocal Jazz, Singer-Songwriter, Jazz Fusion;3.24;1,615;42
2099;2100;The Breathing Effect;Mars Is a Very Bad Place for Love;21 April 2015;Jazz Fusion;3.27;307;1
2100;2101;Chassol;Big Sun;9 March 2015;Sound Collage, Downtempo, Jazz Fusion;3.38;252;3
2101;2102;Joe Henderson;Relaxin' at Camarillo;1981;Post-Bop;3.65;188;3
2102;2103;Romano, Sclavis, Texier & Le Querrec;Carnet de routes;1995;Free Jazz, Avant-Garde Jazz;3.72;188;
2103;2104;Miriam Makeba;Miriam Makeba;March 1961;Marabi;3.25;864;19
2104;2105;GoGo Penguin;Everything Is Going to Be OK;14 April 2023;Nu Jazz, Jazz Fusion;3.27;330;8
2105;2106;The Thing;Garage;9 August 2004;Free Jazz;3.69;194;3
2106;2107;Horace Silver;In Pursuit of the 27th Man;March 1973;Hard Bop;3.71;186;5
2107;2108;Jan Akkerman;Jan Akkerman;October 1977;Jazz Fusion, Jazz-Rock;3.48;226;10
2108;2109;CHON;Chon;7 June 2019;Math Rock, Jazz Fusion;3.25;754;9
2109;2110;Emma-Jean Thackray;Yellow;23 July 2021;Jazz Fusion;3.26;401;7
2110;2111;Esperanza Spalding;Songwrights Apothecary Lab;24 September 2021;Avant-Garde Jazz, Vocal Jazz;3.27;266;7
2111;2112;Defunkt;Defunkt;1980;Jazz-Funk, Funk Rock;3.38;261;3
2112;2113;Okuden Quartet;Every Dog Has Its Day but It Doesn't Matter Because Fat Cat Is Getting Fatter;31 July 2020;Free Jazz;3.58;203;3
2113;2114;Youra;꽤 많은 수의 촉수 돌기 (1);7 July 2023;Vocal Jazz, Indie Pop, Jazz Pop;3.60;216;1
2114;2115;Thad Jones & Mel Lewis;Consummation;October 1970;Big Band;3.73;168;5
2115;2116;Pharaoh Sanders Quintet;Pharaoh Sanders Quintet;1965;Post-Bop, Free Jazz;3.27;367;8
2116;2117;Butch Morris;Dust to Dust;1991;Avant-Garde Jazz, Conducted Improvisation, Modern Creative;3.47;220;2
2117;2118;Hiromi;Spectrum;18 September 2019;Third Stream;3.50;214;5
2118;2119;Bill Frisell;The Intercontinentals;15 April 2003;Avant-Folk, Chamber Jazz, Jazz;3.56;232;5
2119;2120;Brand X;Do They Hurt?;18 April 1980;Jazz-Rock, Jazz Fusion;3.33;289;12
2120;2121;Norma Winstone;Edge of Time;May 1972;Vocal Jazz, Avant-Garde Jazz;3.62;180;3
2121;2122;Kenny Wheeler;Deer Wan;1978;ECM Style Jazz;3.63;191;1
2122;2123;Jahari Massamba Unit;Pardon My French;27 November 2020;Spiritual Jazz, Jazz Fusion;3.36;249;6
2123;2124;Miroslav Vitous;Universal Syncopations;30 September 2003;ECM Style Jazz;3.67;195;8
2124;2125;Pat Martino;Consciousness;1974;Jazz Fusion, Post-Bop;3.75;172;6
2125;2126;David S. Ware;Flight of  I;1992;Avant-Garde Jazz;3.77;173;1
2126;2127;Diana Krall;The Look of Love;18 September 2001;Vocal Jazz, Standards;3.25;402;16
2127;2128;Joe Pass;For Django;1964;Bebop;3.60;208;4
2128;2129;Ray Charles;The Genius Hits the Road;September 1960;Vocal Jazz, Rhythm & Blues, Soul;3.46;237;8
