did,name,gender
425985,Gary Valente,male
262152,Miles Davis Quintet,unknown
2523150,Buddy Wise,male
262160,George Duvivier,male
819217,Greg Goodman,male
1211401,Ricardo Ramírez,male
262167,Willy Ketzer,male
589849,Jonathan Dorn,male
1048600,Screaming Headless Torsos,unknown
262170,Hendrik Schaper,male
360474,Eddie Duran,male
1211404,Luba Mason,female
2228280,Greg Foat,male
2359359,Roscoe Mitchell Sextet,unknown
2031686,Miłość,unknown
3244103,Dana Hall,male
1409100,Jan Galega Brönnimann,male
78,Azymuth,unknown
393294,Jason Miles,male
327758,Raymond Pounds,male
98383,Billy Brooks,male
32850,Maestro,male
1114198,Mike Flythe,male
65623,Jad Fair,male
65624,Supersilent,unknown
262225,Colin Stetson,male
3145820,Peter Rom,male
589917,Bernardo Garcia,male
3276907,Macie Stewart,female
163953,Dave Douglas,male
32882,Alexander Bălănescu,male
3309684,Ola Sendecki,female
229494,Hal Blaine,male
262262,Ravi Best,male
262264,Shane Endsley,male
229498,Max Roach,male
688258,Johnny Morris,male
10879114,ZAÄAR,unknown
2490507,Cold Specks,female
1769617,Montez Coleman,male
262290,David Travers-Smith,male
295060,Joe Lovano,male
295061,Adam Holzman,male
327833,Irving Ashby,male
589979,Otto Berger,male
622752,Helen Nightengale,female
65706,Ran Blake,male
360622,Tom Brechtlein,male
360623,Russell Ferrante,male
3834031,Devin Brahja Waldman,male
65721,Julie Driscoll,female
360635,John Hart,male
721089,Mike Reed,male
721090,Exploding Star Orchestra,unknown
2261185,Alex Han,male
360652,Erik van Lier,male
65744,Donald Harrison,male
426193,Mattias Ståhl,male
65746,Kenny Barron,male
65749,David Liebman,male
65754,Ricky Ford,male
295134,Arthur Jenkins,male
32990,George Michael,male
295139,Evette Benton,female
295140,Barbara Ingram,female
786671,Jesse Sharps,male
458992,Clark Woodard,male
1769721,Stephen Scott,male
65788,John Greaves,male
98556,Josh Roseman,male
2490622,Prasanna,male
2490623,Nitin Mitta,male
327938,Maiya,female
950530,Rick Cutler,male
268,Tom Jenkinson,male
269,Squarepusher,male
65805,Uri Caine,male
196880,Mino Cinelu,male
262417,Roger “Montego Joe” Sanders,male
196875,Mitchel Forman,male
262421,Chief Bey,male
393494,ZAO,unknown
393495,Assagai,unknown
98584,Harold Alexander,male
98585,Ray Bryant,male
262419,Robert Crowder,male
229659,Stella Page,female
655640,Abraham “Boomie” Richman,male
65826,Maher Shalal Hash Baz,unknown
295202,Sam Cooke,male
524581,Chassol,male
65839,Сергей Курёхин,male
1343814,Robert Fischmann,male
393545,Ken Lane,male
295244,David Harrington,male
328018,Martin Duffy,male
328021,Carlos Rios,male
1638745,Leah Zeger,female
262492,Henry Lowther,male
355,[unknown],other
65891,Arve Henriksen,male
262505,James Spaulding,male
6979968,Angel Bat Dawid,female
1278339,Marcus Deml,male
917895,Ariovaldo Contesini,male
590225,Shadowfax,unknown
1868177,Jakub Ziołek,unknown
328082,Al Killian,male
557468,Lady Eka-Ete,female
164253,Ahmad Jamal,male
1048995,Jordi Colomer,male
419,Fila Brazillia,unknown
1212835,Billy Usselton,male
1606062,石松元,unknown
164277,Don Randi,male
262585,"Walter Bishop, Jr.",male
262587,Lucky Thompson,male
1212860,Dan Osborn,male
262588,Davey Schildkraut,male
786886,当山ひとみ,female
328137,David “Fathead” Newman,male
295397,John Stubblefield,male
295399,Dominique Gaumont,male
5276133,Betamax,male
5276134,Danalogue,male
295402,Muhal Richard Abrams,male
229866,Don McLean,male
1704429,Zulu Bidi,unknown
328170,Dino Saluzzi,male
721391,Jacob Garchik,male
721396,Matt Moran,unknown
885241,Berki Tamás,male
328186,Guy Pedersen,male
328202,Maeretha Stewart,female
295435,Myra Melford,female
590348,Eugene Friesen,male
295436,William Hooker,male
393739,須藤俊明,male
393748,Jazz Q,unknown
1245721,Hailu Mergia,male
328220,Wolfgang Lackerschmid,male
328223,Jarrod Cagwin,male
549,Oren Ambarchi,male
655913,Jan Kelley,female
328233,Kenny Washington,male
459307,Lassad Hosni,male
459308,Barbaros Erköse,male
623150,Rozemarie Heggen,female
590391,Odell Brown,male
918072,Giancarlo Luiggi,male
426558,Curley Cooke,male
590400,Esko Heikkinen,male
590401,Jukka Linkola,male
361029,Inger Lise Rypdal,female
590407,Mark Nauseef,male
164424,Toufic Farroukh,male
98889,David Tofani,male
98902,Larry Dunn,male
1147480,Emma Parker,female
98904,Mark King,male
393823,Curtis McLaw,male
361074,Aaron Rosand,male
328312,Han Stubbe,male
328320,Allen Hanlon,male
721538,Aaron Bennett,male
656005,Wayne Peet,male
361105,William Green,male
3703440,朝倉正展,male
524948,Jan Hollestelle,male
661,Bill Laswell,male
426653,Barry Socher,male
262816,Erroll Garner,male
295598,Gerald Cleaver,male
33456,James Mason,unknown
361141,野力奏一,male
3080890,Alicia Lee,female
688845,Edmundo Maciel,male
295638,Frank Strozier,male
295642,Charlie Persip,male
164571,Bing Crosby,male
295645,Ray Alonge,male
262879,Shakti,unknown
164574,Johnny Mercer,male
164578,Velma Middleton,female
295651,Charles Davis,male
754405,Adegoke Steve Colson,male
33528,Dee Dee Bridgewater,female
763,Incognito,unknown
328444,Tony Levin,male
2261758,Valery Ponomarev,male
393988,Vicki Bodner,female
782,Norma Jean Bell,female
492302,Michael O’Neill,male
99093,Mark Harris,male
394007,Carl Lynch,male
262940,London Symphony Orchestra,unknown
262943,Linda Ronstadt,female
33585,Willie Bobo,male
33587,Dinah Washington,female
33588,Shirley Horn,female
33589,Billie Holiday,female
2491189,Kiko Dinucci,male
66361,Jane Siberry,female
328510,Elena Barere,female
688971,Andreas Söderström,male
328530,Sammy Merendino,male
328531,Joyce Hammann,female
328533,Frederick Zlotkin,male
328534,Ann Leathers,female
1442646,Amina Alaoui,female
492381,Northwest Sinfonia,unknown
295776,Rufus Reid,male
557929,Sam Keevers,male
295787,Jimmy Sabater,male
263025,Richard Edwards,male
1082231,David Eagle,unknown
1475451,Hedzoleh Soundz,unknown
2851714,Tõnu Naissoo Trio,unknown
1934214,Jason Stein,male
131975,King Errisson,male
590730,Chris Pinnick,male
328592,Jackie Dougan,male
3343256,Lonnie Holley,male
328601,Djalma Corrêa,male
623514,斉藤清,male
492446,Steve Marcus,male
623519,渡嘉敷祐一,male
230302,Jason Yarde,male
623522,新井英治,male
361384,Jimmy Johnson,male
361385,Marc Chantereau,male
623527,直居隆雄,unknown
33708,Bernie Worrell,male
754605,Satanique Samba Trio,unknown
2687924,Niechęć,unknown
263096,Don Lamond,male
263097,Stan Levey,male
952,Jimi Tenor,male
33726,Foday Musa Suso,male
1770434,David Byrd-Marrow,male
263107,Joe Nay,male
295877,Barry Finclair,male
1770437,Christa Robinson,female
33736,Phillip Wilson,male
33737,Jonas Hellborg,male
295881,Sue Pray,female
164810,나윤선,female
7832532,Jihye Lee Orchestra,unknown
1115118,Matt Hollenberg,male
885743,Monty Waters,male
328685,Reese Wynans,male
1573879,Nia Andrews,female
295930,Lee Young,male
623617,Daniel Farrugia,male
394246,Idris Rahman,male
394249,Robin Hopcraft,male
427022,Gigi Venegoni,male
295958,The Branford Marsalis Quartet,unknown
427039,Viktor Krauss,male
1082410,青柳誠,male
1573932,Michelle Makarski,female
3769397,Lauren Elizabeth Baba,female
328759,Geoffrey Richardson,male
5080123,Grace Kelly,female
885821,Lowell Davidson,male
2360388,Susana Santos Silva,female
361544,Mitch Miller,male
296010,Rune Carlsson,male
296011,Gunnar Bergsten,male
2360394,Kaja Draksler,female
394319,Peter Baumeister,male
2229329,Borlai Gergő,male
99438,Roy Hargrove,male
590959,Ava Mendoza,female
99443,Cheikh Lô,male
427125,Teddy Kotick,male
361592,The Hilliard Ensemble,unknown
2065539,Brian Settles,male
361605,Gordon Jones,male
