id,name,year,gender,country
1494210,John Sutton,,1,England
50437,Neil Innes,1944,1,United Kingdom
1944949,Andy Baxter,,1,United Kingdom
2463675,Haeun Joo,,2,New York
1561354,Alessandra Patrucco,,2,Italy
997495,Andrew Shantz,,1,United States
1491217,Cuca Ferreira,,1,Brazil
1455606,Mohamed Outanine,,1,Morocco
986295,Billy Gardner,,1,United States
1014163,Ilja Gussarov,,1,Estonia
1953749,Joe Singleton,,1,United Kingdom
2599737,Maciek Lasserre,,1,Paris
2236405,Beth Hopkins,,2,London
1723390,Fabrizio Puglisi,1969,1,Italy
1725746,Vyacheslav Ganelin,1944,1,Israel
1072163,Chris Soole,,1,Adelaide
1258819,Andreas Unterreiner,,1,Germany
1095103,Jeff Nelson,,1,New York
2338641,Formiga,,2,Portugal
773152,George Silfies,,1,United States
420914,Robin Thompson,,1,United Kingdom
1247237,Leo Morris,,1,County Sligo
1802281,Jamal Moore,,1,Los Angeles
627943,Piotr Pawlak,,1,Poland
1846825,Francis Moon,,1,Amsterdam
954405,Edvin Nahlin,,1,Sweden
813199,Harry Smyles,,1,United States
632878,Gary Chester,1924,1,United States
2433528,Andrew Wilson,,1,Florida
1238985,Gary Boyle,,1,United States
1764492,Patrick Vollat,1949,1,France
240626,David Pajo,1968,1,United States
464388,Clarence Thomas,1948,1,United States
1273797,Ceri Evans,,1,Wales
1194584,John Harvey,,1,United States
1520833,George Cooper,1840,1,United States
997498,Selah Brown,,2,United States
1757617,Jake Jenkins,,,United States
353761,Torbjørn Sunde,1954,1,Norway
2456145,Tony Russell,1946,1,United Kingdom
1852821,Alberto Continentino,1978,1,Rio de Janeiro
2418855,George Scott,,1,Jamaica
383192,Eddie Cano,1927,1,United States
1851153,Bernard Pierrot,,1,France
997492,Gee's Bend Singers,,,United States
2129586,Eduardo Ribeiro,,1,Brazil
1779635,Katie Schoepflin,,2,United States
1695312,Polish Jazz Quartet,,,Poland
1056476,Wilby Fletcher,1954,1,United States
1967877,Vlado Čech,1949,1,Czechoslovakia
1016698,Charith Premawardhana,,1,San Francisco
891820,Stanley Morgan,,1,United States
997482,Aaron Diehl,1985,1,United States
1634821,Ryuichi Yoshida,,1,Japan
1959451,Cancer G,,,Poland
486810,Wolfgang Lindner,1949,1,Austria
1467179,Otis Harris,,1,United States
963670,Chuck Flores,1935,1,United States
997497,Marcia Miget,,2,United States
1455609,Mohamed Boujmia,,1,Morocco
974889,Joe Mosello,,1,United States
1530190,Chuck Davis,,2,United States
2176731,Bassie,,,South Africa
955627,Ted Robinson,,1,United States
1610613,Mohamed Al-Jabry,,1,Denmark
769644,Richard Young,,1,United States
2455247,Mike Finn,,1,United States
1283814,Christian Li,2007,1,Australia
960786,Ira Schulman,1926,1,United States
1056874,Ben Gerstein,1977,1,United States
944864,Frank Valerino,,1,Cuba
1127145,Nathaniel Morgan,,1,United States
817819,Don Barbour,1929,1,United States
2350159,Jeremy Powell,,1,United States
202356,Eddie Thomas,,1,United States
164708,Eddie Roberts,,1,United Kingdom
444095,Mario Parmisano,1960,1,Buenos Aires
2611582,Daniel Szwed,,1,Poznań
494363,Stuart Brotman,,1,United States
1870826,Felipe Lisciel,1979,1,Petrópolis
1737605,Gavin Templeton,1978,1,United States
1852986,Hannah Sumner,,2,New York
1218657,David Bowden,,1,United States
577252,Jonathan Gandelsman,,1,United States
1069285,Sidsel Walstad,1972,2,Norway
685252,Tracy Carter,,,United States
1079943,Tomi Nikku,,1,Finland
467441,Doug Bogie,,1,United Kingdom
1270363,Raven Bush,,1,United Kingdom
970528,Archie Johnson,1906,1,United States
2429276,Atsushi Tanaka,,,Japan
1112843,Neil Charles,,1,United Kingdom
1007110,Eric Wyrick,,1,United States
604077,Johnny Richards,1911,1,United States
547809,Joe Dodge,1922,1,United States
1001509,Ellen Brekken,1985,2,Norway
1141026,Klemens Lendl,1972,1,Austria
2012048,T-Square,2020,,Netherlands
1544676,Daniel Swenberg,,1,United States
1478932,Nérija,,,United Kingdom
2282111,Tom Lea,,,United Kingdom
1135158,Paweł Nowicki,,1,Poland
1213594,Artyom Manukyan,1983,1,Los Angeles
2190001,Faye Fadem,,2,United States
754173,Kåre Opheim,1975,1,Norway
481758,Roland Alexander,1935,1,United States
37561,Keith Jarrett Trio,,,United States
685973,Antti Rissanen,,1,Finland
2584020,Harry Wilkinson,1997,1,England
940376,Madis Katkosilt,1992,1,Estonia
2224670,Ingebjørg Loe Bjørnstad,,2,Norway
1602568,Peter Blackwood,,1,United Kingdom
1866345,José Madera,,1,Switzerland
503484,Paul Hawkins,,1,United Kingdom
335181,Danny McCormack,1972,,United Kingdom
2436926,Paul Falk,1996,1,Germany
2300394,Nick Moore,,1,Canada
1090980,Chris Hart,1984,1,Japan
871845,Steve Marsh,,1,United States
2535658,Diane Wilson,,2,Australia
1647504,Simon Willey,,1,London
1082779,Franciszek Kowalski,1799,1,Poland
1126795,Bengt Eriksson,,1,Sweden
1434204,Shawn Crowder,,1,United States
989410,Mellissa Hughes,,2,United States
1366349,Douglas Mackie,,1,Australia
676914,Richard Heath,,1,United States
649351,Mark Small,,1,United States
1255789,Horacio,,,Italy
451466,Keith Lewis,1950,1,New Zealand
951598,Frank Roberts,,1,Canada
2348432,Quinn Mason,1996,1,United States
968261,Dave Kurtzer,1925,1,United States
819602,Alex Sharpe,,2,Ireland
1048578,Ed Soph,1945,1,United States
1113015,Sampo Kasurinen,,1,Finland
2064359,Michelle Cho,,2,South Korea
1363925,Jonathan Spitz,,1,United States
2585028,Sara Jacovino,,,United States
1864679,Tom Malone,,1,United States
1159482,Barão,,,Brazil
1116390,Klaus Engl,,1,Germany
1837566,Adam Stover,,1,Los Angeles
511577,Phil Donkin,1980,1,United Kingdom
1090891,Luiz Galvão,1937,1,Brazil
737599,Ditlef Eckhoff,1942,1,Norway
303770,Frank Gordon,1980,,Norway
977707,Анатолий Куликов,,1,Russia
2185375,Allen Ray,,1,United States
357984,David Daniels,1966,1,United States
370906,Bob Riley,,1,United States
2310658,Joe Caro,,1,United States
49133,Mick Collins,1965,1,United States
372074,Pedrito Calvo,,1,Cuba
1138719,Kurt Rapp,,1,Germany
758514,Mack McLean,,1,United States
1623299,Ellwood Epps,,1,Canada
1163176,Sónia Tavares,,2,Portugal
1455607,Abdellatif Abdellaoui,,1,Morocco
2455970,Eric Walker,,1,Hampshire
2488723,Thomas Mitchell,,,Northern Ireland
833440,Yusuf Mumin,1915,1,United States
1854022,Dan Sheehan,1969,1,New York
958968,Ray Codrington,,1,United States
786890,Peter Wood,1950,1,United Kingdom
1212520,Kirk Johnson,,1,Zapopan
1803893,James Macaulay,,1,Melbourne
513638,Jan Hrubý,1948,1,Czechia
1660118,Dan Gray,,1,United Kingdom
1492834,Kathryn King,,2,United States
912262,John Bowley,,1,United Kingdom
344639,Thomas Frank,,1,Germany
400011,Josephine Oniyama,,2,United Kingdom
613576,Danny Johnson,,1,United States
2599534,John Wolf,,1,Szolnok
2199289,Darryl Jackson,,1,United States
2052237,Sam Becker,,1,United Kingdom
2335942,Stephen Henderson,,1,United Kingdom
2422938,Dave Grant,,1,United Kingdom
1120904,Antonio Álvarez,,1,Spain
286438,Sandra Stevens,1949,2,United Kingdom
1081660,Victor Brown,,1,Jamaica
916698,Charles Camilleri,1931,1,Malta
753549,Gil Coggins,1928,1,United States
1081643,Glen Turner,,1,United States
1455603,Abdellah Ahkaraz,,1,Morocco
1929746,Iain Crawford,,1,United Kingdom
2612748,The Pan-Afrikan Peoples Arkestra,,,United States
315769,David Duke,,1,United States
1943902,Marcin Klimczak,,1,Poland
1577702,Hiroshi Suzuki,,,Japan
2615187,Tantric Bile,,,California
1364206,Steve Cochrane,1961,1,Canada
943444,Rauno Vaher,,1,Estonia
103701,Jerry Byrd,1920,1,United States
763910,Leon Williams,,1,United States
1822549,Benjamin Arnow,,1,United States
921361,Rick Culver,,1,United States
1315161,Laura Frautschi,,2,United States
107069,Chris Cowie,1969,1,United Kingdom
335082,Steve Levine,,1,United Kingdom
387987,Mike Peden,,1,Scotland
2411124,Jerzy Piotrowski,,1,Poland
1150599,Alan Dean,1924,1,United Kingdom
1409206,David Chew,,1,United Kingdom
494636,Chicas,,,Brazil
533261,Aaron Bensoussan,,1,Canada
2012110,Bill Robinson,,1,United States
1240646,Cacau,,1,Salvador
1969976,Yoon Sun Choi,,2,New York
1610612,Alfredo do Nascimento,,1,Brazil
1240277,Stephen Johnson,1952,1,Kansas
2147510,Eudald Payés,1996,1,Catalunya
1174326,Brett Randall,,1,Wollongong
1315127,Christopher Thomas,,1,Wales
1180539,Brian Priestley,1940,1,United Kingdom
2037021,Geraldo Medeiros,,1,Brazil
948746,Ronald Thomas,1954,1,United States
1959452,Książę Saxonii,,,Poland
2411178,Sławomir Piwowar,,1,Poland
627931,Tomasz Hesse,,1,Poland
1959603,Jeremy Corren,,1,New York
1623296,Gitanjali Jain,,2,Canada
2127259,Arif Smith,,1,United States
1889135,Bex Burch,,2,United Kingdom
1545529,Mike Haynes,,1,United States
871099,Bertrand Fresel,,1,France
551370,Vincent Gardner,1972,1,United States
962178,Gordon Davis,,1,United Kingdom
1964539,Akira Kawasaki,,,Japan
1610229,Zbigniew Czwojda,1949,1,Poland
820439,Ken Errair,1930,1,United States
1019709,Nikolaj Torp,,1,Denmark
1964784,Mark Mollison,,1,United Kingdom
1617108,Katy Cox,,2,United Kingdom
1941822,Matt Gold,,1,United States
1402603,David Kent,,1,Canada
1713414,John Best,,1,Australia
409574,Barbara Allen,1936,2,United States
813218,Michael Spivakowsky,1919,1,United States
1319837,Jane Robertson,,2,Australia
985942,Bård Ingebrigtsen,,1,Norway
1628909,Ron Eyre,,1,United States
