did,mid,name,year,gender,country
425985,957967,Gary Valente,1953,1,United States
262152,32327,Miles Davis Quintet,1955,,United States
2523150,1443313,Buddy Wise,,1,United States
262160,370194,George Duvivier,1920,1,United States
819217,2116898,Greg Goodman,,1,United States
1211401,1525838,Ricardo Ramírez,,1,Costa Rica
262167,1112253,Willy Ketzer,1951,1,Germany
589849,986817,Jonathan Dorn,,1,United States
1048600,61143,Screaming Headless Torsos,1989,,United States
360475,876416,Phil Edwards,,1,United States
262170,739837,Hendrik Schaper,1951,1,Germany
360474,418744,Eddie Duran,1925,1,United States
1211404,867942,Luba Mason,,2,United States
557100,830676,Reice Hamel,1920,1,United States
2228280,1683800,Greg Foat,,1,United Kingdom
2359359,347317,Roscoe Mitchell Sextet,,,United States
2031686,433229,Miłość,1988,,Poland
3244103,1532136,Dana Hall,1969,1,United States
1409100,978260,Jan Galega Brönnimann,1969,1,Switzerland
78,64829,Azymuth,1973,,Brazil
393294,226087,Jason Miles,1952,1,United States
327758,384967,Raymond Pounds,,1,United States
98383,243757,Billy Brooks,1926,1,United States
32850,2270004,Maestro,,1,Brazil
1114198,384816,Mike Flythe,,1,United States
65623,7859,Jad Fair,1954,1,Glen Rose
65624,89580,Supersilent,1997,,Norway
262225,399741,Colin Stetson,1975,1,Montréal
3145820,1085577,Peter Rom,,1,Wien
589917,1026749,Bernardo Garcia,,1,Cuba
45610,356662,Simon Cotsworth,,1,United Kingdom
3276907,1178053,Macie Stewart,,2,United States
163953,34472,Dave Douglas,1963,1,United States
32882,360261,Alexander Bălănescu,1954,1,Romania
3309684,2154995,Ola Sendecki,,2,Switzerland
229494,190686,Hal Blaine,1929,1,United States
262262,442734,Ravi Best,,1,United States
262264,138899,Shane Endsley,1969,1,United States
229498,41651,Max Roach,1924,1,United States
688258,968310,Johnny Morris,1935,1,United States
10879114,2214417,ZAÄAR,2020,,Belgium
2490507,835928,Cold Specks,,2,Canada
1769617,1102345,Montez Coleman,1973,1,United States
262290,550495,David Travers-Smith,,1,Canada
295060,47642,Joe Lovano,1952,1,United States
295061,228402,Adam Holzman,1958,1,United States
327833,490730,Irving Ashby,1920,1,United States
589979,1506928,Otto Berger,1941,1,Finland
622752,1424823,Helen Nightengale,,2,United States
65706,183654,Ran Blake,1935,1,United States
360622,634595,Tom Brechtlein,,1,United States
360623,455622,Russell Ferrante,1952,1,United States
3834031,1390985,Devin Brahja Waldman,,1,United States
393390,482031,James Dellatacoma,,1,United States
65721,51265,Julie Driscoll,1947,2,United Kingdom
360635,1658354,John Hart,1951,1,United States
721089,1256699,Mike Reed,1974,1,United States
721090,425202,Exploding Star Orchestra,2005,,United States
2261185,1005965,Alex Han,,1,United States
360652,1013551,Erik van Lier,1945,1,Netherlands
65744,107157,Donald Harrison,1960,1,United States
426193,748614,Mattias Ståhl,1971,1,Sweden
65746,5420,Kenny Barron,1943,1,United States
65749,933835,David Liebman,1946,1,United States
65754,198226,Ricky Ford,1954,1,United States
295134,381481,Arthur Jenkins,1936,1,United States
32990,142,George Michael,1963,1,United Kingdom
295139,384976,Evette Benton,1952,2,United States
295140,384986,Barbara Ingram,1947,2,United States
786671,1177411,Jesse Sharps,,1,United States
458992,1274174,Clark Woodard,,1,United States
1769721,1146783,Stephen Scott,1969,1,United States
65788,192332,John Greaves,1950,1,United Kingdom
98556,339965,Josh Roseman,1972,1,United States
2490622,606917,Prasanna,1957,1,India
2490623,929976,Nitin Mitta,,1,United States
327938,901909,Maiya,,2,United States
2687236,2331069,Antonio Castiello,,1,Italy
950530,1062975,Rick Cutler,,1,United States
268,112561,Tom Jenkinson,1975,1,Sheffield
269,2418,Squarepusher,1975,1,Sheffield
65805,54455,Uri Caine,1956,1,United States
196880,252289,Mino Cinelu,1957,1,France
262417,359137,Roger “Montego Joe” Sanders,1943,1,Jamaica
196875,159073,Mitchel Forman,1956,1,United States
262421,694721,Chief Bey,1913,1,United States
393494,307766,ZAO,1971,,France
393495,229600,Assagai,,,United Kingdom
98584,105908,Harold Alexander,,1,United States
98585,20691,Ray Bryant,1931,1,United States
262419,957086,Robert Crowder,,1,Philadelphia
229659,356461,Stella Page,,2,United Kingdom
655640,1737857,Abraham “Boomie” Richman,1921,1,United States
65826,168175,Maher Shalal Hash Baz,1984,,Japan
295202,1344,Sam Cooke,1931,1,United States
524581,907959,Chassol,1976,1,France
196905,240352,John Holbrook,,,United Kingdom
426286,1022926,Eddie Korvin,1945,1,United States
65839,240392,Сергей Курёхин,1954,1,Russia
1343814,1597342,Robert Fischmann,1977,1,Czechia
393545,782023,Ken Lane,1912,1,United States
295244,478894,David Harrington,1949,1,United States
328018,262681,Martin Duffy,1967,1,United Kingdom
328021,1016218,Carlos Rios,,1,United States
1638745,927825,Leah Zeger,1983,2,United States
262492,177648,Henry Lowther,1941,1,United Kingdom
355,97546,[unknown],,4,[Worldwide]
65891,139745,Arve Henriksen,1968,1,Norway
262505,7368,James Spaulding,1937,1,United States
371,59814,Laurent Brondel,,1,France
6979968,1774563,Angel Bat Dawid,1979,2,United States
1278339,411080,Marcus Deml,1967,1,Germany
917895,1039685,Ariovaldo Contesini,,1,Brazil
590225,24062,Shadowfax,1972,,United States
1868177,1599919,Jakub Ziołek,1985,,Poland
328082,263164,Al Killian,1916,1,United States
557468,2262824,Lady Eka-Ete,,2,United States
164253,23629,Ahmad Jamal,1930,1,United States
1048995,1382725,Jordi Colomer,,1,Spain
419,99603,Fila Brazillia,1990,,United Kingdom
1212835,1695768,Billy Usselton,1926,1,United States
1606062,1478189,石松元,,,Japan
164277,14929,Don Randi,1937,1,United States
262585,327607,"Walter Bishop, Jr.",1927,1,United States
262587,7366,Lucky Thompson,1924,1,United States
1212860,1472151,Dan Osborn,,1,United States
262588,414921,Davey Schildkraut,1925,1,United States
786886,705128,当山ひとみ,1957,2,Japan
328137,79879,David “Fathead” Newman,1933,1,United States
295397,344762,John Stubblefield,1945,1,United States
295399,493623,Dominique Gaumont,1953,1,France
5276133,1850349,Betamax,,1,United Kingdom
5276134,1850348,Danalogue,,1,United Kingdom
295402,293390,Muhal Richard Abrams,1930,1,United States
229866,2970,Don McLean,1945,1,United States
1704429,2568693,Zulu Bidi,1945,,South Africa
328170,11396,Dino Saluzzi,1935,1,Argentina
721391,463462,Jacob Garchik,1976,1,United States
721396,372327,Matt Moran,,,United States
885241,1483323,Berki Tamás,1946,1,Hungary
328186,132425,Guy Pedersen,1930,1,France
328202,855361,Maeretha Stewart,,2,United States
295435,113279,Myra Melford,1957,2,United States
590348,62744,Eugene Friesen,1952,1,United States
295436,258005,William Hooker,1946,1,United States
393739,359231,須藤俊明,,1,Japan
393748,674128,Jazz Q,1964,,Czechia
1245721,1028105,Hailu Mergia,1946,1,Ethiopia
328220,375136,Wolfgang Lackerschmid,1956,1,Germany
328223,958371,Jarrod Cagwin,,1,United States
549,152063,Oren Ambarchi,1969,1,Australia
459303,2256780,Seth Atkins Horan,,1,United States
655913,1801999,Jan Kelley,,2,Los Angeles
328233,957697,Kenny Washington,1958,1,United States
459307,1107722,Lassad Hosni,,1,Tunisia
459308,702965,Barbaros Erköse,1936,1,Türkiye
623150,1339263,Rozemarie Heggen,,2,Netherlands
590391,414992,Odell Brown,1940,1,United States
918072,1879104,Giancarlo Luiggi,,1,United States
426558,973729,Curley Cooke,1944,1,United States
590400,1061346,Esko Heikkinen,1953,1,Finland
590401,824674,Jukka Linkola,1955,1,Finland
361029,246056,Inger Lise Rypdal,1949,2,Norway
590407,296572,Mark Nauseef,1953,1,United States
164424,82995,Toufic Farroukh,1958,1,Lebanon
98889,383658,David Tofani,,1,United States
98902,80138,Larry Dunn,1953,1,United States
1147480,1380716,Emma Parker,,2,United Kingdom
98905,240852,Jerry Boys,,1,United Kingdom
98904,170384,Mark King,1958,1,United Kingdom
393823,1652347,Curtis McLaw,,1,Germany
361074,493217,Aaron Rosand,1927,1,United States
328307,431820,Jacquie Turner,,2,United Kingdom
328312,287072,Han Stubbe,1976,1,Belgium
328320,798426,Allen Hanlon,,1,United States
721538,2298457,Aaron Bennett,,1,California
656005,1023937,Wayne Peet,1954,1,United States
361105,486900,William Green,1925,1,United States
3703440,2253153,朝倉正展,,1,Japan
524948,651455,Jan Hollestelle,1947,1,Netherlands
661,3947,Bill Laswell,1955,1,United States
426653,786487,Barry Socher,1947,1,United States
262816,36596,Erroll Garner,1921,1,United States
295598,372416,Gerald Cleaver,1963,1,United States
33456,117956,James Mason,,,United States
361141,838879,野力奏一,1957,1,Japan
3080890,1403190,Alicia Lee,,2,United States
688845,901985,Edmundo Maciel,,1,Brazil
295631,1402269,Nic Hard,,1,United States
295638,504983,Frank Strozier,1937,1,United States
295642,364406,Charlie Persip,1929,1,United States
164571,99,Bing Crosby,1903,1,United States
295645,813198,Ray Alonge,1924,1,United States
262879,36769,Shakti,1974,,United Kingdom
164574,4350,Johnny Mercer,1909,1,United States
164578,818797,Velma Middleton,1917,2,United States
295651,358559,Charles Davis,1933,1,United States
754405,1621627,Adegoke Steve Colson,1949,1,United States
33528,35411,Dee Dee Bridgewater,1950,2,United States
763,15263,Incognito,1979,,United Kingdom
328444,785940,Tony Levin,1940,1,United Kingdom
2261758,722188,Valery Ponomarev,1943,1,Russia
393983,382218,Mark Abramson,1934,1,United States
