"name"
Jazz
Acid jazz
Afro-Cuban jazz
Avant-garde jazz
Bebop
Big band
British dance band
Cape jazz
Chamber jazz
Continental jazz
Cool jazz
Crossover jazz
Dixieland
Electro Swing
Swing
Ethio-jazz
Ethno jazz
European free jazz
Flamenco jazz
Free funk
Free jazz
Free improvisation
Gypsy jazz
Hard bop
Indo jazz
Jazz blues
Jazz-funk
Jazz fusion
Jazz poetry
Jazz pop
Jazz rap
Jazz rock
Jump blues
Kansas City jazz
Latin jazz
M-Base
Marabi
Mainstream jazz
Modal jazz
Neo-bop jazz
Wynton Marsalis
Neo-swing
Nu jazz
Orchestral jazz
Post-bop
Punk jazz
Samba-jazz
Ska jazz
Skiffle
Smooth jazz
Soul jazz
Spiritual jazz
Straight-ahead jazz
Stride jazz
Swing
Third stream
Trad jazz
Dixieland
West Coast jazz
Bebop
Acid jazz
